#separator:tab
#html:false
#columns: Marathi	Pronunciation	Hindi	English	ExampleMarathi	ExampleEnglish
घाबरणे	ghābaraṇe	डरना	to get scared	अंधारात घाबरू नकोस.	Do not fear the dark.
कंटाळणे	kaṇṭāḷaṇe	ऊबना	to get bored	एकटं बसून कंटाळतो.	I get bored sitting alone.
थकणे	thakaṇe	थकना	to get tired	धावून थकलो.	I got tired running.
जन्मणे	janmaṇe	पैदा होना	to be born	मूल सकाळी जन्मलं.	The baby was born in the morning.
वाढवणे	vāḍhavaṇe	पालना	to raise (children)	आई मुलांना वाढवते.	Mother raises the children.
सराव करणे	sarāv karaṇe	अभ्यास करना	to practice	रोज सराव कर.	Practice every day.
स्पर्धा करणे	spardhā karaṇe	प्रतिस्पर्धा करना	to compete	खेळाडूंशी स्पर्धा कर.	Compete with the players.
तोलणे	tolaṇe	तौलना	to weigh	भाजी तोलून घे.	Weigh the vegetables.
माझा	mājhā	मेरा	my (masculine)	हा माझा भाऊ आहे.	This is my brother.
माझी	mājhī	मेरी	my (feminine)	ही माझी बहीण आहे.	This is my sister.
तुझा	tujhā	तुम्हारा	your (masculine)	हा तुझा पेन आहे का?	Is this your pen?
तुमचा	tumchā	आपका	your (respectful)	तुमचा पत्ता सांगा.	Tell me your address.
त्याचा	tyāchā	उसका	his	त्याचा भाऊ आला.	His brother came.
तिचा	tichā	उसकी	her	तिची मैत्रीण गेली.	Her friend left.
आमचा	āmchā	हमारा	our	हा आमचा देश आहे.	This is our country.
त्यांचा	tyānchā	उनका	their	त्यांचं घर मोठं आहे.	Their house is big.
हा	hā	यह	this (masculine)	हा मुलगा हुशार आहे.	This boy is smart.
ही	hī	यह	this (feminine)	ही मुलगी गाते.	This girl sings.
हे	he	यह	this (neuter)	हे पुस्तक वाच.	Read this book.
इथे	ithe	यहाँ	here	इथे बैस.	Sit here.
तिथे	tithe	वहाँ	there	तिथे जाऊ नकोस.	Do not go there.
असा	asā	ऐसा	like this	असा प्रश्न विचार.	Ask such a question.
तसा	tasā	वैसा	like that	तसा माणूस भेटणार नाही.	You will not meet such a man.
जो	jo	जो	who / which	जो अभ्यास करतो तो यशस्वी होतो.	One who studies succeeds.
काही	kāhī	कुछ	some	काही पुस्तकं घे.	Take some books.
इतर	itar	दूसरे	other	इतर मुलं कुठे आहेत?	Where are the other children?
कोणी	koṇī	कोई	someone / anyone	दारात कोणी आहे का?	Is someone at the door?
काहीच	kāhīch	कुछ नहीं	nothing	पिशवीत काहीच नाही.	There is nothing in the bag.
दात घासणे	dāt ghāsaṇe	दाँत माँजना	brushing teeth	सकाळी दात घास.	Brush your teeth in the morning.
आंघोळ	āṅghoḷ	स्नान	bath	सकाळी आंघोळ कर.	Bathe in the morning.
नाश्ता करणे	nāśtā karaṇe	नाश्ता करना	having breakfast	आठ वाजता नाश्ता करतो.	I have breakfast at eight.
कामावर जाणे	kāmāvar jāṇe	काम पर जाना	going to work	नऊ वाजता कामावर जातो.	I go to work at nine.
परत येणे	parat yeṇe	वापस आना	coming home	संध्याकाळी घरी परत येतो.	I come home in the evening.
जेवणे	jevaṇe	खाना खाना	eating meals	रात्री आठ वाजता जेवतो.	I eat at eight at night.
आराम करणे	ārām karaṇe	आराम करना	taking rest	दुपारी थोडा आराम करतो.	I rest a little in the afternoon.
कसे आहात	kase āhāt	कैसे हैं	how are you (formal)	नमस्कार, कसे आहात?	Hello, how are you?
मी ठीक आहे	mī ṭhīk āhe	मैं ठीक हूँ	I am fine	मी ठीक आहे, धन्यवाद.	I am fine, thank you.
तुमचं नाव काय	tumcha nāv kāy	आपका नाम क्या है	what is your name	तुमचं नाव काय आहे?	What is your name?
माझं नाव	mājha nāv	मेरा नाम	my name is	माझं नाव राहुल आहे.	My name is Rahul.
तुम्ही कुठे राहता	tumhī kuṭhe rāhatā	आप कहाँ रहते हैं	where do you live	तुम्ही कुठे राहता?	Where do you live?
मी पुण्यात राहतो	mī puṇyāt rāhato	मैं पुणे में रहता हूँ	I live in Pune	मी पुण्यात राहतो.	I live in Pune.
तुम्हाला मराठी येतं का	tumhālā marāṭhī yeta kā	क्या आपको मराठी आती है	do you know Marathi	तुम्हाला मराठी येतं का?	Do you know Marathi?
मला थोडं मराठी येतं	malā thoḍa marāṭhī yeta	मुझे थोड़ी मराठी आती है	I know a little Marathi	मला थोडं मराठी येतं.	I know a little Marathi.
पुन्हा सांगा	punhā sāṅgā	फिर से कहिए	please say again	कृपया पुन्हा सांगा.	Please say it again.
हळू बोला	haḷū bolā	धीरे बोलिए	please speak slowly	कृपया हळू बोला.	Please speak slowly.
मला समजलं नाही	malā samajala nāhī	मुझे समझ नहीं आया	I did not understand	माफ करा, मला समजलं नाही.	Sorry, I did not understand.
याचा अर्थ काय	yāchā arth kāy	इसका मतलब क्या है	what does this mean	या शब्दाचा अर्थ काय?	What does this word mean?
मराठीत कसं म्हणतात	marāṭhīt kasa mhaṇtāt	मराठी में कैसे कहते हैं	how do you say in Marathi	धन्यवाद मराठीत कसं म्हणतात?	How do you say thank you in Marathi?
खूप छान	khūp chān	बहुत अच्छा	very nice	खूप छान काम केलंस.	You did very nice work.
शाबास	śābās	शाबाश	well done / bravo	शाबास, छान काम केलंस.	Bravo, you did good work.
काळजी घे	kāḷjī ghe	अपना ख्याल रखो	take care	स्वतःची काळजी घे.	Take care of yourself.
लवकर भेटू	lavkar bheṭū	जल्द मिलेंगे	see you soon	चल, लवकर भेटू.	Bye, see you soon.
शुभ प्रवास	śubh pravās	शुभ यात्रा	have a good trip	शुभ प्रवास.	Have a good trip.
जेवण झालं का	jevaṇ jhāla kā	खाना खाया क्या	did you eat	जेवण झालं का?	Have you eaten?
हो, झालं	ho, jhāla	हाँ, खा लिया	yes, I ate	हो, जेवण झालं.	Yes, I have eaten.
चला जाऊया	chalā jāūyā	चलो चलें	let us go	उशीर होतोय, चला जाऊया.	It is getting late, let us go.
थांबा एक मिनिट	thāmbā ek miniṭ	एक मिनट रुको	wait a minute	थांबा एक मिनिट, येतोच.	Wait a minute, I am coming.
काही हरकत नाही	kāhī harkat nāhī	कोई बात नहीं	it is alright	काही हरकत नाही, पुढच्या वेळी.	It is alright, next time.
देवाची कृपा	devāchī kṛpā	भगवान की कृपा	by God’s grace	देवाच्या कृपेने सर्व ठीक आहे.	All is well by God’s grace.
राम राम	rām rām	राम राम	hello (traditional)	राम राम, कसे आहात?	Hello, how are you?
ओळख करून देणे	oḷakh karūn deṇe	परिचय कराना	introducing someone	माझ्या मित्राची ओळख करून देतो.	Let me introduce my friend.
कृपया मदत करा	kṛpayā madat karā	कृपया मदद कीजिए	please help me	कृपया मला मदत करा.	Please help me.
तुमचं स्वागत आहे	tumcha svāgat āhe	आपका स्वागत है	you are welcome	धन्यवाद. तुमचं स्वागत आहे.	Thank you. You are welcome.
काही मदत हवी का	kāhī madat havī kā	कोई मदद चाहिए क्या	do you need help	तुला काही मदत हवी का?	Do you need any help?
हो, कृपया	ho, kṛpayā	हाँ, कृपया	yes, please	हो, कृपया मदत करा.	Yes, please help.
नको, धन्यवाद	nako, dhanyavād	नहीं, धन्यवाद	no, thank you	नको, धन्यवाद.	No, thank you.
बरोबर	barobar	सही	correct	तुझं उत्तर बरोबर आहे.	Your answer is correct.
चूक	chūk	गलत	wrong	हे उत्तर चूक आहे.	This answer is wrong.
चिवडा	chivaḍā	चिवड़ा	chiwda (savory mix)	दिवाळीत चिवडा करतात.	Chiwda is made on Diwali.
चकली	chaklī	चकली	chakli (crisp spiral snack)	चकली कुरकुरीत लागते.	Chakli tastes crisp.
शंकरपाळी	śaṅkarpāḷī	शंकरपाली	shankarpali (sweet snack)	फराळात शंकरपाळी असते.	Shankarpali is in the festive snacks.
करंजी	karaṅjī	गुझिया	karanji (sweet dumpling)	ओल्या नारळाची करंजी छान लागते.	Coconut karanji tastes good.
सरबत	sarbat	शरबत	sherbet (cold drink)	उन्हाळ्यात लिंबू सरबत प्या.	Drink lemon sherbet in summer.
कैरी पन्हं	kairī panha	कच्चे आम का पना	raw mango cooler	उन्हाळ्यात कैरी पन्हं प्या.	Drink raw mango cooler in summer.
कांदा भजी	kāndā bhajī	प्याज के पकौड़े	onion fritters	पावसाळ्यात कांदा भजी खातात.	Onion fritters are eaten in monsoon.
बटाटा वडा	baṭāṭā vaḍā	आलू वडा	potato vada	वडापावात बटाटा वडा असतो.	Vada pav has potato vada.
इडली	iḍlī	इडली	idli (steamed cake)	नाश्त्याला इडली सांबार.	Idli-sambar for breakfast.
डोसा	ḍosā	डोसा	dosa (crisp pancake)	मसाला डोसा मागव.	Order a masala dosa.
उत्तपा	uttapā	उत्तपम	uttapam (thick pancake)	कांदा उत्तपा छान लागतो.	Onion uttapam tastes good.
सायंकाळचा चहा	sāyaṅkāḷchā chahā	शाम की चाय	evening tea	सायंकाळी चहा आणि भजी.	Evening tea with fritters.
लस्सी	lassī	लस्सी	lassi (yogurt drink)	उन्हाळ्यात आंब्याची लस्सी प्या.	Drink mango lassi in summer.
कोकम सरबत	kokam sarbat	कोकम शरबत	kokum sherbet	उन्हाळ्यात कोकम सरबत प्या.	Drink kokum sherbet in summer.
सोलकढी	solkaḍhī	सोलकढ़ी	solkadhi (kokum drink)	जेवणासोबत सोलकढी घ्या.	Have solkadhi with meals.
गोष्ट	goṣṭ	बात	matter / story	एक गोष्ट सांग.	Tell me something.
कर्तव्य	kartavy	कर्तव्य	duty	हे काम माझं कर्तव्य आहे.	This work is my duty.
वेळापत्रक	veḷāpatrak	समय सारणी	timetable	वेळापत्रकाप्रमाणे अभ्यास कर.	Study according to the timetable.
यादी	yādī	सूची	list	बाजाराची यादी बनव.	Make the market list.
बदल	badal	बदलाव	change	हा बदल चांगला आहे.	This change is good.
सुरुवात	suruvāt	शुरुआत	beginning	सुरुवात चांगली झाली.	The beginning was good.
शेवट	śevaṭ	अंत	end	गोष्ट शेवटपर्यंत ऐक.	Listen to the story till the end.
मध्य	madhy	मध्य	middle / center	मध्यभागी बैस.	Sit in the middle.
बाजू	bājū	पक्ष	side	दोन्ही बाजू ऐक.	Hear both sides.
टोक	ṭok	सिरा	tip / end	रस्त्याच्या टोकाला थांब.	Stop at the end of the road.
तुकडा	tukḍā	टुकड़ा	piece	भाकरीचा तुकडा दे.	Give a piece of bhakri.
संपूर्ण	sampūrṇ	पूरा	entire / whole	संपूर्ण धडा वाच.	Read the entire lesson.
अर्धा	ardhā	आधा	half	अर्धा ग्लास पाणी दे.	Give half a glass of water.
पाव	pāv	चौथाई	quarter	पाव किलो साखर घे.	Take a quarter kilo of sugar.
दुप्पट	duppaṭ	दोगुना	double	दुप्पट मेहनत कर.	Work twice as hard.
तिप्पट	tippaṭ	तिगुना	triple	तिप्पट नफा झाला.	Profit tripled.
जवळपास	javaḷpās	लगभग	approximately	जवळपास शंभर लोक आले.	About a hundred people came.
तंतोतंत	tantotant	बिल्कुल सही	exactly / precisely	तंतोतंत पाच वाजता ये.	Come at exactly five.
वेगळं	vegaḷa	अलग	different / separate	वेगळं काहीतरी कर.	Do something different.
सारखं	sārkha	जैसा	same / similar	दोन्ही सारखी दिसतात.	Both look the same.
